id,title,rating,votes,genre_ids,language,release_date,runtime,budget,revenue,popularity,overview,number_of_seasons,number_of_episodes,production_countries,networks,creators,main_actors,source_category,type
25181,On the Case with Paula Zahn,8.3,17,"[80, 99]",en,2009-10-18,43.0,,,173.1677,"Award winning journalist Paula Zahn unravels shocking crimes interviewing those closest to the case including lawyers, the victim's family, detectives and the convicted murderer themselves.",27,383.0,['United States of America'],['Investigation Discovery'],[],['Paula Zahn'],genre_99_2009,tv
8592,Parks and Recreation,8.022,1596,[35],en,2009-04-09,22.0,,,158.0948,"In an attempt to beautify her town — and advance her career — Leslie Knope, a mid-level bureaucrat in the Parks and Recreation Department of Pawnee, Indiana, takes on bureaucrats, cranky neighbors, and single-issue fanatics whose weapons are lawsuits, the jumble of city codes, and the democratic pro",7,122.0,['United States of America'],['NBC'],"['Michael Schur', 'Greg Daniels']","['Amy Poehler', 'Aziz Ansari', 'Nick Offerman', 'Aubrey Plaza', 'Chris Pratt']",vote_count.desc_2009,tv
1419,Castle,8.0,1948,"[18, 80]",en,2009-03-09,45.0,,,154.6262,"After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.",8,173.0,['United States of America'],['ABC'],['Andrew W. Marlowe'],"['Nathan Fillion', 'Stana Katic', 'Molly C. Quinn', 'Jon Huertas', 'Seamus Dever']",genre_80_2009,tv
17640,Kate Garraway's Life Stories,5.9,9,[10767],en,2009-02-22,,,,141.3061,Celebrities open up to Kate Garraway in intimate and moving interviews.,14,102.0,['United Kingdom'],['ITV1'],['Piers Morgan'],['Kate Garraway'],popularity.desc_2009,tv
46261,Fairy Tail,7.9,976,"[16, 10759, 35, 9648, 10765]",ja,2009-10-12,25.0,,,139.0695,"Lucy is a 17-year-old girl, who wants to be a full-fledged mage. One day when visiting Harujion Town, she meets Natsu, a young man who gets sick easily by any type of transportation. But Natsu isn't just any ordinary kid, he's a member of one of the world's most infamous mage guilds: Fairy Tail.",8,328.0,['Japan'],"['TV Tokyo', 'TV Aichi', 'TVQ']",[],"['Tetsuya Kakihara', 'Aya Hirano', 'Rie Kugimiya', 'Yuichi Nakamura', 'Sayaka Ohara']",genre_16_2009,tv
49281,CBeebies Bedtime Stories,7.7,7,"[10762, 10751]",en,2009-03-09,,,,133.4158,Join a host of different celebrities for a different story read each night just before bedtime.,1,751.0,['United Kingdom'],['CBeebies'],[],[],popularity.desc_2009,tv
36109,Paradise Hotel,5.8,8,[10764],no,2009-03-09,42.0,,,132.8899,"Norwegian girls and boys check in at the Paradise Hotel in Mexico, where Triana Iglesias is the hotel manager. The hotel has great views and a fantastic pool. Cameras with a full view of the idyllic site tells the story of what happens when the single boys and girls meet in the hot surroundings of t",17,706.0,"['Mexico', 'Norway']","['TV3', 'Viaplay']",[],['Triana Iglesias'],popularity.desc_2009,tv
1435,The Good Wife,7.599,611,[18],en,2009-09-22,43.0,,,132.1623,Alicia Florrick boldly assumes full responsibility for her family and re-enters the workforce after her husband's very public sex and political corruption scandal lands him in jail.,7,156.0,['United States of America'],['CBS'],"['Robert King', 'Michelle King']","['Julianna Margulies', 'Christine Baranski', 'Matt Czuchry', 'Alan Cumming', 'Cush Jumbo']",popularity.desc_2009,tv
18350,Atrévete a soñar,8.068,897,[18],es,2009-03-08,60.0,,,122.4962,"Danna Paola stars as Patito, Eleazar Gómez as Mateo, Violeta Isfel and Cynthia Klitbo, play antagonist roles as Antonella and Bianca. The telenovela features adult protagonists also, René Strickler and Vanessa Guzmán.

It first aired on Sunday, 8 March 2009, as the first telenovela to debut on a Sun",1,262.0,['Mexico'],['Las Estrellas'],[],"['Vanessa Guzmán', 'René Strickler', 'Cynthia Klitbo', 'Danna Paola', 'Violeta Isfel']",vote_count.desc_2009,tv
33347,Angelina Ballerina: The Next Steps,7.2,5,"[10751, 16, 10762]",en,2009-09-05,,,,120.8861,"Join Angelina Ballerina as she finds her way in her new school, puts together her own show and tries to land a leading role in the Mouskinov Ballet. Prepare to pirouette along with everyone's favorite ballerina in these sparkling stories!",4,50.0,"['United Kingdom', 'United States of America']",['5'],"['Katharine Holabird', 'Helen Craig', 'Mallory Lewis']","['Charlotte Spencer', 'Naomi McDonald', 'Leah Zabari', 'Jules de Jongh', 'Jo Wyatt']",genre_16_2009,tv
